Input	Match type	Approved symbol	Approved name	HGNC ID	Location
C19orf62	Previous symbol	BABAM1	BRISC and BRCA1 A complex member 1	HGNC:25008	19p13.11
C19orf63	Previous symbol	EMC10	ER membrane protein complex subunit 10	HGNC:27609	19q13.33
C19orf69	Previous symbol	ERICH4	glutamate rich 4	HGNC:34497	19q13.2
C19orf75	Previous symbol	SIGLECL1	SIGLEC family like 1	HGNC:26856	19q13.33
C19orf76	Previous symbol	ADM5	adrenomedullin 5 (putative)	HGNC:27293	19q13.33
C19orf77	Previous symbol	SMIM24	small integral membrane protein 24	HGNC:37244	19p13.3
C1orf103	Previous symbol	LRIF1	ligand dependent nuclear receptor interacting factor 1	HGNC:30299	1p13.3
C1orf104	Previous symbol	RUSC1-AS1	RUSC1 antisense RNA 1	HGNC:26680	1q22
C1orf107	Previous symbol	DIEXF	digestive organ expansion factor homolog (zebrafish)	HGNC:28440	1q32.2
C1orf110	Previous symbol	CCDC190	coiled-coil domain containing 190	HGNC:28736	1q23.3
C1orf113	Previous symbol	SH3D21	SH3 domain containing 21	HGNC:26236	1p34.3
C1orf114	Previous symbol	CCDC181	coiled-coil domain containing 181	HGNC:28051	1q24
C1orf124	Previous symbol	SPRTN	SprT-like N-terminal domain	HGNC:25356	1q42.12-q43
C1orf125	Previous symbol	AXDND1	axonemal dynein light chain domain containing 1	HGNC:26564	1q25.2
C1orf128	Previous symbol	PITHD1	PITH domain containing 1	HGNC:25022	1p36.11
C1orf129	Previous symbol	MROH9	maestro heat like repeat family member 9	HGNC:26287	1q24.3
C1orf130	Previous symbol	NCMAP	non-compact myelin associated protein	HGNC:29332	1p36.11
C1orf135	Previous symbol	AUNIP	aurora kinase A and ninein interacting protein	HGNC:28363	1p36.11
C1orf14	Previous symbol	SHCBP1L	SHC SH2-domain binding protein 1-like	HGNC:16788	1q25
C1orf144	Previous symbol	SZRD1	SUZ RNA binding domain containing 1	HGNC:30232	1p36.13
C1orf150	Previous symbol	GCSAML	germinal center-associated, signaling and motility-like	HGNC:29583	1q44
C1orf151	Previous symbol	MINOS1	mitochondrial inner membrane organizing system 1	HGNC:32068	1p36.13
C1orf156	Previous symbol	METTL18	methyltransferase like 18	HGNC:28793	1q24.2
C1orf161	Previous symbol	MAB21L3	mab-21 like 3	HGNC:26787	1p13.1
C1orf163	Previous symbol	COA7	cytochrome c oxidase assembly factor 7 (putative)	HGNC:25716	1p32.3
C1orf172	Previous symbol	KDF1	keratinocyte differentiation factor 1	HGNC:26624	1p36.11
C1orf173	Previous symbol	ERICH3	glutamate rich 3	HGNC:25346	1p31.1
C1orf175	Previous symbol	MROH7	maestro heat like repeat family member 7	HGNC:24802	1p32.3
C1orf177	Previous symbol	LEXM	lymphocyte expansion molecule	HGNC:26854	1p32.3
C1orf182	Previous symbol	TSACC	TSSK6 activating co-chaperone	HGNC:30636	1q22
C1orf183	Previous symbol	FAM212B	family with sequence similarity 212 member B	HGNC:28045	1p13.2
C1orf187	Previous symbol	DRAXIN	dorsal inhibitory axon guidance protein	HGNC:25054	1p36.22
C1orf190	Previous symbol	LURAP1	leucine rich adaptor protein 1	HGNC:32327	1p34.1
C1orf192	Previous symbol	CFAP126	cilia and flagella associated protein 126	HGNC:32325	1q23.3
C1orf201	Previous symbol	STPG1	sperm tail PG-rich repeat containing 1	HGNC:28070	1p36.11
C1orf212	Previous symbol	SMIM12	small integral membrane protein 12	HGNC:25154	1p34.3
C1orf213	Previous symbol	ZNF436-AS1	ZNF436 antisense RNA 1	HGNC:25122	1p36.12
C1orf223	Previous symbol	TEX38	testis expressed 38	HGNC:29589	1p33
C1orf227	Previous symbol	SPATA45	spermatogenesis associated 45	HGNC:33709	1q32.3
C1orf230	Previous symbol	RIIAD1	regulatory subunit of type II PKA R-subunit (RIIa) domain containing 1	HGNC:26686	1q21.3
C1orf25	Previous symbol	TRMT1L	tRNA methyltransferase 1 like	HGNC:16782	1q25.2
C1orf26	Previous symbol	SWT1	SWT1, RNA endoribonuclease homolog	HGNC:16785	1q25
C1orf31	Previous symbol	COA6	cytochrome c oxidase assembly factor 6	HGNC:18025	1q42.2
C1orf38	Previous symbol	THEMIS2	thymocyte selection associated family member 2	HGNC:16839	1p35.2
C1orf49	Previous symbol	TEX35	testis expressed 35	HGNC:25366	1q25.2
C1orf51	Previous symbol	CIART	circadian associated repressor of transcription	HGNC:25200	1q21.2
C1orf55	Previous symbol	SDE2	SDE2 telomere maintenance homolog	HGNC:26643	1q42.12
C1orf57	Previous symbol	NTPCR	nucleoside-triphosphatase, cancer-related	HGNC:28204	1q42.2
C1orf58	Previous symbol	BROX	BRO1 domain and CAAX motif containing	HGNC:26512	1q41
C1orf59	Previous symbol	HENMT1	HEN1 methyltransferase homolog 1	HGNC:26400	1p13.3
C1orf63	Previous symbol	RSRP1	arginine/serine-rich protein 1	HGNC:25234	1p36.13-p35.1
C1orf65	Previous symbol	CCDC185	coiled-coil domain containing 185	HGNC:26654	1q42.11
C1orf66	Previous symbol	RRNAD1	ribosomal RNA adenine dimethylase domain containing 1	HGNC:24273	1q23.1
C1orf69	Previous symbol	IBA57	IBA57 homolog, iron-sulfur cluster assembly	HGNC:27302	1q42.13
C1orf70	Previous symbol	TMEM240	transmembrane protein 240	HGNC:25186	1p36.33
C1orf77	Previous symbol	CHTOP	chromatin target of PRMT1	HGNC:24511	1q21.3
C1orf83	Previous symbol	TCEANC2	transcription elongation factor A N-terminal and central domain containing 2	HGNC:26494	1p32.3
C1orf84	Previous symbol	SZT2	seizure threshold 2 homolog (mouse)	HGNC:29040	1p34.2
C1orf85	Previous symbol	GLMP	glycosylated lysosomal membrane protein	HGNC:29436	1q22
C1orf86	Previous symbol	FAAP20	Fanconi anemia core complex associated protein 20	HGNC:26428	1p36.33
C1orf88	Previous symbol	PIFO	primary cilia formation	HGNC:27009	1p13.2
C1orf89	Previous symbol	RSG1	REM2 and RAB like small GTPase 1	HGNC:28127	1p36.13
C1orf9	Previous symbol	SUCO	SUN domain containing ossification factor	HGNC:1240	1q24
C1orf91	Previous symbol	TMEM234	transmembrane protein 234	HGNC:28837	1p36.11-p34.2
C1orf92	Previous symbol	LRRC71	leucine rich repeat containing 71	HGNC:26556	1q23.1
C1orf93	Previous symbol	FAM213B	family with sequence similarity 213 member B	HGNC:28390	1p36.32
C1orf96	Previous symbol	CCSAP	centriole, cilia and spindle associated protein	HGNC:29578	1q42.13
C20orf103	Previous symbol	LAMP5	lysosomal associated membrane protein family member 5	HGNC:16097	20p12
C20orf106	Previous symbol	FAM209A	family with sequence similarity 209 member A	HGNC:16100	20q13.31
C20orf107	Previous symbol	FAM209B	family with sequence similarity 209 member B	HGNC:16101	20q13.31
C20orf108	Previous symbol	FAM210B	family with sequence similarity 210 member B	HGNC:16102	20q13.2
C20orf11	Previous symbol	GID8	GID complex subunit 8 homolog	HGNC:15857	20q13.33
C20orf111	Previous symbol	OSER1	oxidative stress responsive serine rich 1	HGNC:16105	20q13.11
C20orf112	Previous symbol	NOL4L	nucleolar protein 4-like	HGNC:16106	20q11.21
C20orf114	Previous symbol	BPIFB1	BPI fold containing family B member 1	HGNC:16108	20q11.21
C20orf117	Previous symbol	SOGA1	suppressor of glucose, autophagy associated 1	HGNC:16111	20q11.23
C20orf118	Previous symbol	TLDC2	TBC/LysM-associated domain containing 2	HGNC:16112	20q11.23
C20orf12	Previous symbol	DZANK1	double zinc ribbon and ankyrin repeat domains 1	HGNC:15858	20p11.23
C20orf123	Previous symbol	OCSTAMP	osteoclast stimulatory transmembrane protein	HGNC:16116	20q13.12
C20orf132	Previous symbol	MROH8	maestro heat like repeat family member 8	HGNC:16125	20q11.22
C20orf134	Previous symbol	ACTL10	actin like 10	HGNC:16127	20q11.22
C20orf135	Previous symbol	ABHD16B	abhydrolase domain containing 16B	HGNC:16128	20q13.33
C20orf151	Previous symbol	RBBP8NL	RBBP8 N-terminal like	HGNC:16144	20q13.33
C20orf152	Previous symbol	CNBD2	cyclic nucleotide binding domain containing 2	HGNC:16145	20q11.23
C20orf160	Previous symbol	CCM2L	CCM2 like scaffolding protein	HGNC:16153	20q11.21
C20orf165	Previous symbol	SPATA25	spermatogenesis associated 25	HGNC:16158	20q13.12
C20orf166	Previous symbol	MIR1-1HG	MIR1-1 host gene	HGNC:16159	20q13.33
C20orf177	Previous symbol	FAM217B	family with sequence similarity 217 member B	HGNC:16170	20q13.33
C20orf185	Previous symbol	BPIFB3	BPI fold containing family B member 3	HGNC:16178	20q11.21
C20orf186	Previous symbol	BPIFB4	BPI fold containing family B member 4	HGNC:16179	20q11.21
C20orf20	Previous symbol	MRGBP	MRG/MORF4L binding protein	HGNC:15866	20q13.33
C20orf201	Previous symbol	LKAAEAR1	LKAAEAR motif containing 1	HGNC:33718	20q13.33
C20orf26	Previous symbol	CFAP61	cilia and flagella associated protein 61	HGNC:15872	20p11.23
C20orf29	Previous symbol	AP5S1	adaptor related protein complex 5 sigma 1 subunit	HGNC:15875	20p13
C20orf3	Previous symbol	APMAP	adipocyte plasma membrane associated protein	HGNC:13238	20p11.2
C20orf30	Previous symbol	TMEM230	transmembrane protein 230	HGNC:15876	20p13
C20orf4	Previous symbol	AAR2	AAR2 splicing factor homolog	HGNC:15886	20q11.23
C20orf43	Previous symbol	RTFDC1	replication termination factor 2 domain containing 1	HGNC:15890	20q13
C20orf46	Previous symbol	TMEM74B	transmembrane protein 74B	HGNC:15893	20p13
C20orf54	Previous symbol	SLC52A3	solute carrier family 52 member 3	HGNC:16187	20p13
C20orf7	Previous symbol	NDUFAF5	NADH:ubiquinone oxidoreductase complex assembly factor 5	HGNC:15899	20p12.1
C20orf70	Previous symbol	BPIFA2	BPI fold containing family A member 2	HGNC:16203	20q11.21
C20orf71	Previous symbol	BPIFA3	BPI fold containing family A member 3	HGNC:16204	20q11.21
C20orf72	Previous symbol	MGME1	mitochondrial genome maintenance exonuclease 1	HGNC:16205	20p11.23
C20orf79	Previous symbol	SCP2D1	SCP2 sterol binding domain containing 1	HGNC:16211	20p11.23
C20orf94	Previous symbol	SLX4IP	SLX4 interacting protein	HGNC:16225	20p12
C21orf29	Previous symbol	TSPEAR	thrombospondin-type laminin G domain and EAR repeats	HGNC:1268	21q22.3
C21orf45	Previous symbol	MIS18A	MIS18 kinetochore protein A	HGNC:1286	21q22.11
C21orf56	Previous symbol	SPATC1L	spermatogenesis and centriole associated 1-like	HGNC:1298	21q22.3
C21orf57	Previous symbol	YBEY	ybeY metallopeptidase (putative)	HGNC:1299	21q22.3
C21orf63	Previous symbol	EVA1C	eva-1 homolog C (C. elegans)	HGNC:13239	21q22.11
C21orf7	Previous symbol	MAP3K7CL	MAP3K7 C-terminal like	HGNC:16457	21q22.3
C21orf70	Previous symbol	FAM207A	family with sequence similarity 207 member A	HGNC:15811	21q22.3
C22orf13	Previous symbol	GUCD1	guanylyl cyclase domain containing 1	HGNC:14237	22q11.2
C22orf25	Previous symbol	TANGO2	transport and golgi organization 2 homolog	HGNC:25439	22q11.21
C22orf26	Previous symbol	PRR34	proline rich 34	HGNC:25606	22q13.31
C22orf28	Previous symbol	RTCB	RNA 2',3'-cyclic phosphate and 5'-OH ligase	HGNC:26935	22q12.3
C22orf30	Previous symbol	PRR14L	proline rich 14 like	HGNC:28738	22q12.2
C22orf32	Previous symbol	SMDT1	single-pass membrane protein with aspartate-rich tail 1	HGNC:25055	22q13.2
C22orf33	Previous symbol	TEX33	testis expressed 33	HGNC:28568	22q12.3
C22orf36	Previous symbol	LRRC75B	leucine rich repeat containing 75B	HGNC:33155	22q11.23
C22orf40	Previous symbol	CDPF1	cysteine rich DPF motif domain containing 1	HGNC:33710	22q13.31
C22orf41	Previous symbol	SYCE3	synaptonemal complex central element protein 3	HGNC:35245	22q13.33
C22orf43	Previous symbol	DRICH1	aspartate-rich 1	HGNC:28031	22q11.23
C22orf9	Previous symbol	KIAA0930	KIAA0930	HGNC:1314	22q13.31
C2orf18	Previous symbol	SLC35F6	solute carrier family 35 member F6	HGNC:26055	2p24.1
C2orf24	Previous symbol	CNPPD1	cyclin Pas1/PHO80 domain containing 1	HGNC:25220	2q36
C2orf28	Previous symbol	ATRAID	all-trans retinoic acid induced differentiation factor	HGNC:24090	2p23.3
C2orf29	Previous symbol	CNOT11	CCR4-NOT transcription complex subunit 11	HGNC:25217	2q12.1
C2orf3	Previous symbol	GCFC2	GC-rich sequence DNA-binding factor 2	HGNC:1317	2p12
C2orf34	Previous symbol	CAMKMT	calmodulin-lysine N-methyltransferase	HGNC:26276	2p21
C2orf39	Previous symbol	DRC1	dynein regulatory complex subunit 1	HGNC:24245	2p23.3
C2orf43	Previous symbol	LDAH	lipid droplet associated hydrolase	HGNC:26145	2p24.1
C2orf51	Previous symbol	TEX37	testis expressed 37	HGNC:26341	2p11.2
C2orf53	Previous symbol	PRR30	proline rich 30	HGNC:28677	2p23.3
C2orf55	Previous symbol	KIAA1211L	KIAA1211-like	HGNC:33454	2q11.2
C2orf56	Previous symbol	NDUFAF7	NADH:ubiquinone oxidoreductase complex assembly factor 7	HGNC:28816	2p22.2
C2orf60	Previous symbol	TYW5	tRNA-yW synthesizing protein 5	HGNC:26754	2q33.1
C2orf62	Previous symbol	CATIP	ciliogenesis associated TTC17 interacting protein	HGNC:25062	2q35
C2orf63	Previous symbol	CLHC1	clathrin heavy chain linker domain containing 1	HGNC:26453	2p16.1
C2orf64	Previous symbol	COA5	cytochrome c oxidase assembly factor 5	HGNC:33848	2q11.2
C2orf65	Previous symbol	M1AP	meiosis 1 associated protein	HGNC:25183	2p13.1
C2orf67	Previous symbol	KANSL1L	KAT8 regulatory NSL complex subunit 1 like	HGNC:26310	2q34
C2orf7	Previous symbol	PRADC1	protease-associated domain containing 1	HGNC:16047	2p13.2
C2orf77	Previous symbol	CCDC173	coiled-coil domain containing 173	HGNC:25064	2q31.1
C2orf79	Previous symbol	PTRHD1	peptidyl-tRNA hydrolase domain containing 1	HGNC:33782	2p23.3
C2orf84	Previous symbol	FAM228A	family with sequence similarity 228 member A	HGNC:34418	2p23.3
C2orf85	Previous symbol	RTP5	receptor (chemosensory) transporter protein 5 (putative)	HGNC:26585	2q37.3
C2orf86	Previous symbol	WDPCP	WD repeat containing planar cell polarity effector	HGNC:28027	2p15
C2orf89	Previous symbol	TRABD2A	TraB domain containing 2A	HGNC:27013	2p11.2
C3orf1	Previous symbol	TIMMDC1	translocase of inner mitochondrial membrane domain containing 1	HGNC:1321	3q13.33
C3orf10	Previous symbol	BRK1	BRICK1, SCAR/WAVE actin nucleating complex subunit	HGNC:23057	3p25.3
C3orf15	Previous symbol	MAATS1	MYCBP associated and testis expressed 1	HGNC:24010	3q13.33
C3orf16	Previous symbol	ANKUB1	ankyrin repeat and ubiquitin domain containing 1	HGNC:29642	3q25.1
C3orf19	Previous symbol	CCDC174	coiled-coil domain containing 174	HGNC:28033	3p25.1
C3orf21	Previous symbol	XXYLT1	xyloside xylosyltransferase 1	HGNC:26639	3q29
C3orf23	Previous symbol	TCAIM	T-cell activation inhibitor, mitochondrial	HGNC:25241	3p21.33-p21.32
C3orf24	Previous symbol	FANCD2OS	FANCD2 opposite strand	HGNC:28623	3p25.3
C3orf26	Previous symbol	CMSS1	cms1 ribosomal small subunit homolog (yeast)	HGNC:28666	3q12.1
C3orf27	Previous symbol	LINC01565	long intergenic non-protein coding RNA 1565	HGNC:17099	3q21
C3orf31	Previous symbol	TAMM41	TAM41 mitochondrial translocator assembly and maintenance homolog	HGNC:25187	3p25.2
C3orf32	Previous symbol	SSUH2	ssu-2 homolog (C. elegans)	HGNC:24809	3p25.3
C3orf34	Previous symbol	CEP19	centrosomal protein 19	HGNC:28209	3q29
C3orf37	Previous symbol	HMCES	5-hydroxymethylcytosine (hmC) binding, ES cell-specific	HGNC:24446	3q21.3
C3orf39	Previous symbol	POMGNT2	protein O-linked mannose N-acetylglucosaminyltransferase 2 (beta 1,4-)	HGNC:25902	3p22.1
C3orf43	Previous symbol	SMCO1	single-pass membrane protein with coiled-coil domains 1	HGNC:27407	3q29
C3orf45	Previous symbol	LSMEM2	leucine rich single-pass membrane protein 2	HGNC:26781	3p21.31
C3orf54	Previous symbol	FAM212A	family with sequence similarity 212 member A	HGNC:32480	3p21.31
C3orf55	Previous symbol	PQLC2L	PQ loop repeat containing 2-like	HGNC:25146	3q25.32
C3orf57	Previous symbol	SPTSSB	serine palmitoyltransferase small subunit B	HGNC:24045	3q26.1
C3orf59	Previous symbol	MB21D2	Mab-21 domain containing 2	HGNC:30438	3q28-q29
C3orf63	Previous symbol	FAM208A	family with sequence similarity 208 member A	HGNC:30314	3p14.3
C3orf64	Previous symbol	EOGT	EGF domain specific O-linked N-acetylglucosamine transferase	HGNC:28526	3p14.1
C3orf71	Previous symbol	ARIH2OS	ariadne homolog 2 opposite strand	HGNC:34425	3p21.31
C3orf72	Previous symbol	FOXL2NB	FOXL2 neighbor	HGNC:34428	3q22.3
C3orf75	Previous symbol	ELP6	elongator acetyltransferase complex subunit 6	HGNC:25976	3p21.31
C3orf77	Previous symbol	TOPAZ1	testis and ovary specific PAZ domain containing 1	HGNC:24746	3p21.33
C3orf78	Previous symbol	SMIM4	small integral membrane protein 4	HGNC:37257	3p21.1
C4orf14	Previous symbol	NOA1	nitric oxide associated 1	HGNC:28473	4q12
C4orf21	Previous symbol	ZGRF1	zinc finger GRF-type containing 1	HGNC:25654	4q25
C4orf23	Previous symbol	TRMT44	tRNA methyltransferase 44 homolog (S. cerevisiae)	HGNC:26653	4p16.1
C4orf29	Previous symbol	ABHD18	abhydrolase domain containing 18	HGNC:26111	4q28.2
C4orf31	Previous symbol	NDNF	neuron-derived neurotrophic factor	HGNC:26256	4q27
C4orf34	Previous symbol	SMIM14	small integral membrane protein 14	HGNC:27321	4p14
C4orf35	Previous symbol	CABS1	calcium binding protein, spermatid associated 1	HGNC:30710	4q13.3
C4orf37	Previous symbol	STPG2	sperm tail PG-rich repeat containing 2	HGNC:28712	4q22.3-q23
C4orf39	Previous symbol	FAM218A	family with sequence similarity 218 member A	HGNC:26466	4q32.3
C4orf40	Previous symbol	PRR27	proline rich 27	HGNC:33193	4q13.3
C4orf41	Previous symbol	TRAPPC11	trafficking protein particle complex 11	HGNC:25751	4q35.1
C4orf43	Previous symbol	TMA16	translation machinery associated 16 homolog	HGNC:25638	4q32.3
C4orf44	Previous symbol	MSANTD1	Myb/SANT DNA binding domain containing 1	HGNC:33741	4p16.2
C4orf49	Previous symbol	MGARP	mitochondria localized glutamic acid rich protein	HGNC:29969	4q31.1
C4orf52	Previous symbol	SMIM20	small integral membrane protein 20	HGNC:37260	4p15.2
C4orf6	Previous symbol	LINC01587	long intergenic non-protein coding RNA 1587	HGNC:13716	4p16
C4orf7	Previous symbol	FDCSP	follicular dendritic cell secreted protein	HGNC:19215	4q13
C5orf13	Previous symbol	NREP	neuronal regeneration related protein	HGNC:16834	5q22.1
C5orf20	Previous symbol	DCANP1	dendritic cell-associated nuclear protein	HGNC:24459	5q31.1
C5orf23	Previous symbol	NPR3	natriuretic peptide receptor 3	HGNC:7945	5p13.3
C5orf25	Previous symbol	SIMC1	SUMO interacting motifs containing 1	HGNC:24779	5q35.2
C5orf32	Previous symbol	CYSTM1	cysteine rich transmembrane module containing 1	HGNC:30239	5q31.3
C5orf33	Previous symbol	NADK2	NAD kinase 2, mitochondrial	HGNC:26404	5p13.2
C5orf35	Previous symbol	SETD9	SET domain containing 9	HGNC:28508	5q11.2
C5orf36	Previous symbol	KIAA0825	KIAA0825	HGNC:28532	5q15
C5orf39	Previous symbol	ANXA2R	annexin A2 receptor	HGNC:33463	5p12
C5orf4	Previous symbol	FAXDC2	fatty acid hydroxylase domain containing 2	HGNC:1334	5q31-q32
C5orf40	Previous symbol	FNDC9	fibronectin type III domain containing 9	HGNC:33547	5q33.3
C5orf41	Previous symbol	CREBRF	CREB3 regulatory factor	HGNC:24050	5q35.2
C5orf43	Previous symbol	SMIM15	small integral membrane protein 15	HGNC:33861	5q12
C5orf44	Previous symbol	TRAPPC13	trafficking protein particle complex 13	HGNC:25828	5q12.3
C5orf48	Previous symbol	TEX43	testis expressed 43	HGNC:33767	5q23.2
C5orf53	Previous symbol	IGIP	IgA-inducing protein	HGNC:33847	5q31
C5orf54	Previous symbol	ZBED8	zinc finger BED-type containing 8	HGNC:30804	5q33.3
C5orf55	Previous symbol	EXOC3-AS1	EXOC3 antisense RNA 1	HGNC:25175	5p15.33
C5orf62	Previous symbol	SMIM3	small integral membrane protein 3	HGNC:30248	5q33.1
C6orf103	Previous symbol	ADGB	androglobin	HGNC:21212	6q24.2
C6orf105	Previous symbol	ADTRP	androgen dependent TFPI regulating protein	HGNC:21214	6p24.1
C6orf108	Previous symbol	DNPH1	2'-deoxynucleoside 5'-phosphate N-hydrolase 1	HGNC:21218	6p21.1
C6orf114	Previous symbol	GFOD1	glucose-fructose oxidoreductase domain containing 1	HGNC:21096	6p24.1-p23
C6orf115	Previous symbol	ABRACL	ABRA C-terminal like	HGNC:21230	6q24.1
C6orf125	Previous symbol	UQCC2	ubiquinol-cytochrome c reductase complex assembly factor 2	HGNC:21237	6p21.31
C6orf126	Previous symbol	CLPSL2	colipase like 2	HGNC:21250	6p21.31
C6orf127	Previous symbol	CLPSL1	colipase like 1	HGNC:21251	6p21.31
C6orf129	Previous symbol	CCDC167	coiled-coil domain containing 167	HGNC:21239	6p21.2
C6orf130	Previous symbol	OARD1	O-acyl-ADP-ribose deacylase 1	HGNC:21257	6p21.1
C6orf134	Previous symbol	ATAT1	alpha tubulin acetyltransferase 1	HGNC:21186	6p21.32
C6orf138	Previous symbol	PTCHD4	patched domain containing 4	HGNC:21345	6p12.3
C6orf142	Previous symbol	MLIP	muscular LMNA-interacting protein	HGNC:21355	6p12.2-p12.1
C6orf145	Previous symbol	PXDC1	PX domain containing 1	HGNC:21361	6p25.1
C6orf146	Previous symbol	FAM217A	family with sequence similarity 217 member A	HGNC:21362	6p25.1
C6orf150	Previous symbol	MB21D1	Mab-21 domain containing 1	HGNC:21367	6q13
C6orf153	Previous symbol	RRP36	ribosomal RNA processing 36	HGNC:21374	6p21.1
C6orf154	Previous symbol	LRRC73	leucine rich repeat containing 73	HGNC:21375	6p21.1
C6orf162	Previous symbol	SMIM8	small integral membrane protein 8	HGNC:21401	6q15
C6orf165	Previous symbol	CFAP206	cilia and flagella associated protein 206	HGNC:21405	6q15
C6orf167	Previous symbol	MMS22L	MMS22 like, DNA repair protein	HGNC:21475	6q16.3
C6orf168	Previous symbol	FAXC	failed axon connections homolog	HGNC:20742	6q16.3
C6orf170	Previous symbol	TBC1D32	TBC1 domain family member 32	HGNC:21485	6q22.31
C6orf174	Previous symbol	SOGA3	SOGA family member 3	HGNC:21494	6q22.33
C6orf182	Previous symbol	CEP57L1	centrosomal protein 57 like 1	HGNC:21561	6q21
C6orf186	Previous symbol	METTL24	methyltransferase like 24	HGNC:21566	6q21
C6orf191	Previous symbol	TMEM244	transmembrane protein 244	HGNC:21571	6q22.33
C6orf192	Previous symbol	SLC18B1	solute carrier family 18 member B1	HGNC:21573	6q22.3-q23.3
C6orf195	Previous symbol	LINC01600	long intergenic non-protein coding RNA 1600	HGNC:21600	6p25.2
C6orf204	Previous symbol	CEP85L	centrosomal protein 85 like	HGNC:21638	6q22.31
C6orf211	Previous symbol	ARMT1	acidic residue methyltransferase 1	HGNC:17872	6q25.1
C6orf221	Previous symbol	KHDC3L	KH domain containing 3 like, subcortical maternal complex member	HGNC:33699	6q13
C6orf225	Previous symbol	FAM229B	family with sequence similarity 229 member B	HGNC:33858	6q21
C6orf26	Previous symbol	SAPCD1	suppressor APC domain containing 1	HGNC:13938	6p21
C6orf27	Previous symbol	VWA7	von Willebrand factor A domain containing 7	HGNC:13939	6p21
C6orf35	Previous symbol	TMEM242	transmembrane protein 242	HGNC:17206	6q25.3
C6orf57	Previous symbol	SDHAF4	succinate dehydrogenase complex assembly factor 4	HGNC:20957	6q12
C6orf64	Previous symbol	SAYSD1	SAYSVFN motif domain containing 1	HGNC:21025	6p21.1
C6orf70	Previous symbol	ERMARD	ER membrane-associated RNA degradation	HGNC:21056	6q27
C6orf72	Previous symbol	GINM1	glycoprotein integral membrane 1	HGNC:21074	6q24.3
C6orf81	Previous symbol	ARMC12	armadillo repeat containing 12	HGNC:21099	6p21.31
C6orf94	Previous symbol	ZC2HC1B	zinc finger C2HC-type containing 1B	HGNC:21174	6q24.2
C6orf97	Previous symbol	CCDC170	coiled-coil domain containing 170	HGNC:21177	6q25.1
C7orf10	Previous symbol	SUGCT	succinyl-CoA:glutarate-CoA transferase	HGNC:16001	7p14
C7orf11	Previous symbol	MPLKIP	M-phase specific PLK1 interacting protein	HGNC:16002	7p14
C7orf16	Previous symbol	PPP1R17	protein phosphatase 1 regulatory subunit 17	HGNC:16973	7p15
C7orf23	Previous symbol	TMEM243	transmembrane protein 243	HGNC:21707	7q21.12
C7orf27	Previous symbol	BRAT1	BRCA1 associated ATM activator 1	HGNC:21701	7p22.3
C7orf28A	Previous symbol	CCZ1	CCZ1 homolog, vacuolar protein trafficking and biogenesis associated	HGNC:21691	7p22.1
C7orf28B	Previous symbol	CCZ1B	CCZ1 homolog B, vacuolar protein trafficking and biogenesis associated	HGNC:21717	7p22.2
C7orf29	Previous symbol	ZBED6CL	ZBED6 C-terminal like	HGNC:21720	7q35
C7orf30	Previous symbol	MALSU1	mitochondrial assembly of ribosomal large subunit 1	HGNC:21721	7p15.3
C7orf36	Previous symbol	YAE1D1	Yae1 domain containing 1	HGNC:24857	7p14.1
C7orf41	Previous symbol	MTURN	maturin, neural progenitor differentiation regulator homolog (Xenopus)	HGNC:25457	7p15.1
C7orf42	Previous symbol	TMEM248	transmembrane protein 248	HGNC:25476	7q11.21
C7orf44	Previous symbol	COA1	cytochrome c oxidase assembly factor 1 homolog	HGNC:21868	7p13
C7orf45	Previous symbol	SSMEM1	serine-rich single-pass membrane protein 1	HGNC:29580	7q32.2
C7orf46	Previous symbol	FAM221A	family with sequence similarity 221 member A	HGNC:27977	7p15.3
C7orf47	Previous symbol	PPP1R35	protein phosphatase 1 regulatory subunit 35	HGNC:28320	7q22.1
C7orf51	Previous symbol	NYAP1	neuronal tyrosine phosphorylated phosphoinositide-3-kinase adaptor 1	HGNC:22009	7q22.1
C7orf52	Previous symbol	NAT16	N-acetyltransferase 16 (putative)	HGNC:22030	7q22.1
C7orf53	Previous symbol	LSMEM1	leucine rich single-pass membrane protein 1	HGNC:22036	7q31.1
C7orf58	Previous symbol	CPED1	cadherin like and PC-esterase domain containing 1	HGNC:26159	7q31.31
C7orf59	Previous symbol	LAMTOR4	late endosomal/lysosomal adaptor, MAPK and MTOR activator 4	HGNC:33772	7q22
C7orf63	Previous symbol	CFAP69	cilia and flagella associated protein 69	HGNC:26107	7q21.13
C7orf64	Previous symbol	RBM48	RNA binding motif protein 48	HGNC:21785	7q21.2
C7orf68	Previous symbol	HILPDA	hypoxia inducible lipid droplet associated	HGNC:28859	7q32.1
C7orf70	Previous symbol	FAM220A	family with sequence similarity 220 member A	HGNC:22422	7p22.1
C8orf30A	Previous symbol	HGH1	HGH1 homolog	HGNC:24161	8q24.3
C8orf38	Previous symbol	NDUFAF6	NADH:ubiquinone oxidoreductase complex assembly factor 6	HGNC:28625	8q22.1
C8orf40	Previous symbol	SMIM19	small integral membrane protein 19	HGNC:25166	8p11.21
C8orf41	Previous symbol	TTI2	TELO2 interacting protein 2	HGNC:26262	8p12
C8orf42	Previous symbol	TDRP	testis development related protein	HGNC:26951	8p23.3
C8orf45	Previous symbol	MCMDC2	minichromosome maintenance domain containing 2	HGNC:26368	8q13.1
C8orf47	Previous symbol	ERICH5	glutamate rich 5	HGNC:26823	8q22.2
